,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,HTGDBG,HTGDAG,ATGDBG,ATGDAG,HTPBG,HTPAG,ATPBG,ATPAG,RATIO,CC,GO
151,08/12/12,Montpellier,Ajaccio,3,0,H,1.62,3.6,6.0,0,3,-200,-200,17,20,-200,-200,-200.0,20,False
152,08/12/12,Nancy,Valenciennes,1,1,D,2.8,3.1,2.6,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
153,08/12/12,Paris SG,Evian Thonon Gaillard,4,0,H,1.22,6.0,13.0,12,16,-200,-200,26,29,-200,-200,-200.0,20,False
154,08/12/12,Rennes,Brest,2,2,D,1.62,3.5,6.5,2,2,-200,-200,25,26,-200,-200,-200.0,20,False
155,08/12/12,Sochaux,Lille,1,1,D,4.2,3.2,1.95,-200,-200,1,1,-200,-200,21,22,-200.0,20,False
156,08/12/12,Troyes,Nice,1,1,D,2.8,3.0,2.7,-200,-200,1,1,-200,-200,22,23,-200.0,20,False
157,09/12/12,Marseille,Lorient,0,3,A,1.62,3.6,6.0,4,1,-200,-200,29,29,-200,-200,-200.0,20,False
158,09/12/12,Reims,Bordeaux,0,0,D,3.4,3.1,2.25,-2,-2,7,7,16,17,25,26,-9.0,20,False
159,09/12/12,St Etienne,Lyon,0,1,A,2.05,3.2,3.75,14,13,13,14,26,26,31,34,-2.3,20,False
160,11/12/12,Lille,Toulouse,2,0,H,1.73,3.4,5.25,1,3,6,4,22,25,23,23,-2.8,20,False
161,11/12/12,Nice,Rennes,1,0,H,2.3,3.1,3.25,1,2,2,1,23,26,26,26,-2.1,20,False
162,11/12/12,Valenciennes,Paris SG,0,4,A,4.33,3.5,1.83,-200,-200,16,20,-200,-200,29,32,-200.0,20,False
163,12/12/12,Ajaccio,Reims,2,0,H,1.8,3.3,4.75,-200,-200,-2,-4,-200,-200,17,17,-200.0,20,False
164,12/12/12,Bastia,Marseille,1,2,A,3.5,3.2,2.15,-200,-200,1,2,-200,-200,29,32,-200.0,20,False
165,12/12/12,Brest,Montpellier,1,2,A,3.0,3.0,2.5,-200,-200,3,4,-200,-200,20,23,-200.0,20,False
166,12/12/12,Evian Thonon Gaillard,Troyes,2,0,H,1.83,3.4,4.5,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
167,12/12/12,Lorient,Sochaux,2,0,H,1.67,3.5,5.5,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
168,12/12/12,Lyon,Nancy,1,1,D,1.4,4.5,8.0,14,14,-200,-200,34,35,-200,-200,-200.0,20,False
169,13/12/12,Bordeaux,St Etienne,0,0,D,2.0,3.2,4.0,7,7,13,13,26,27,26,27,-2.7,20,False
170,14/12/12,Rennes,Valenciennes,2,0,H,2.0,3.3,3.8,1,3,-200,-200,26,29,-200,-200,-200.0,20,False
171,15/12/12,Montpellier,Bastia,4,0,H,1.62,3.75,5.5,4,8,-200,-200,23,26,-200,-200,-200.0,20,False
172,15/12/12,Nice,Evian Thonon Gaillard,3,2,H,1.91,3.3,4.2,2,3,-200,-200,26,29,-200,-200,-200.0,20,False
173,15/12/12,Reims,Lille,1,1,D,4.75,3.25,1.83,-4,-4,3,3,17,18,25,26,-7.550000000000001,20,False
174,15/12/12,Sochaux,Brest,1,2,A,2.2,3.1,3.5,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
175,15/12/12,Toulouse,Marseille,0,1,A,2.63,3.1,2.75,4,3,2,3,23,23,32,35,-4.05,20,False
176,15/12/12,Troyes,Ajaccio,3,2,H,2.4,3.1,3.1,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
177,16/12/12,Nancy,Bordeaux,1,1,D,3.3,3.2,2.25,-200,-200,7,7,-200,-200,27,28,-200.0,20,False
178,16/12/12,Paris SG,Lyon,1,0,H,1.62,3.75,5.5,20,21,14,13,32,35,35,35,1.05,20,False
179,16/12/12,St Etienne,Lorient,0,2,A,1.73,3.3,5.5,13,11,-200,-200,27,27,-200,-200,-200.0,20,False
180,21/12/12,Brest,Paris SG,0,3,A,7.5,4.1,1.44,-200,-200,21,24,-200,-200,35,38,-200.0,20,False
181,22/12/12,Ajaccio,Rennes,2,4,A,2.88,3.0,2.63,-200,-200,3,5,-200,-200,29,32,-200.0,20,False
182,22/12/12,Bastia,Nancy,4,2,H,2.5,3.1,2.9,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
183,22/12/12,Bordeaux,Troyes,0,0,D,1.4,4.33,8.5,7,7,-200,-200,28,29,-200,-200,-200.0,20,False
184,22/12/12,Lille,Montpellier,4,1,H,2.0,3.2,4.0,3,6,8,5,26,29,26,26,-2.25,20,False
185,22/12/12,Lorient,Reims,2,2,D,1.5,3.75,7.5,-200,-200,-4,-4,-200,-200,18,19,-200.0,20,False
186,22/12/12,Lyon,Nice,3,0,H,1.62,3.6,6.0,13,16,3,0,35,38,29,29,7.800000000000001,20,False
187,23/12/12,Marseille,St Etienne,1,0,H,1.83,3.4,4.5,3,4,11,10,35,38,27,27,0.8000000000000003,20,False
188,23/12/12,Toulouse,Sochaux,2,0,H,1.62,3.5,6.5,3,5,-200,-200,23,26,-200,-200,-200.0,20,False
189,23/12/12,Valenciennes,Evian Thonon Gaillard,2,1,H,1.8,3.5,4.5,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
190,11/01/13,Paris SG,Ajaccio,0,0,D,1.14,7.5,17.0,24,24,-200,-200,38,39,-200,-200,-200.0,20,False
